อ	A
วปติ	Vapati
วปน	Vapana
วปยาติ	Vapayāti
วปฺป	Vappa
วพฺภาจิตํ	Vabbhācitaṃ
วมติ	Vamati
วมถุ	Vamathu
วมน	Vamana
วมนีย	Vamanīya
วมฺภนา	Vambhanā
วมฺภนีย	Vambhanīya
วมฺภยิต	Vambhayita
วมฺภินฺ	Vambhin
วมฺเภติ	Vambheti
วมฺม	Vamma
วมฺมิก	Vammika
วมฺมิต	Vammita
วมฺมินฺ	Vammin
วมฺมีก	Vammīka
วมฺเมติ	Vammeti
วมฺห	Vamha
วย	Vaya
วยํ	Vayaṃ
วยสฺส	Vayassa
วยฺห	Vayha
วร	Vara
วรก	Varaka
วรณ	Varaṇa
วรติ	Varati
วรตฺต	Varatta
วราก	Varāka
วราห	Varāha
วลญฺช	Valañja
วลญฺชน	Valañjana
วลญฺชนก	Valañjanaka
วลญฺชิต	Valañjita
วลญฺเชติ	Valañjeti
วลย	Valaya
วลาหก	Valāhaka
วลาหสฺส	Valāhassa
วลิ	Vali
วลิก	Valika
วลิต	Valita
วลินฺ	Valin
วลิย	Valiya
วลีกํ	Valīkaṃ
วฬีมนฺตฺ	Vaḷīmant
วเลติ	Valeti
วลฺลกี	Vallakī
วลฺลภ	Vallabha
วลฺลภตฺต	Vallabhatta
วลฺลรี	Vallarī
วลฺลิกา	Vallikā
วลฺลิภ	Vallibha
วลฺลี	Vallī
วลฺลุร	Vallura
วฬ	Vaḷa
วฬภา	Vaḷabhā
วฬภี	Vaḷabhī
วฬวา	Vaḷavā
วฬีน	Vaḷīna
ววกฏฺฐ	Vavakaṭṭha
ววกสฺสติ	Vavakassati
ววกฺขติ	Vavakkhati
ววตฺถเปติ	Vavatthapeti
ววตฺถาน	Vavatthāna
ววตฺถาปิต	Vavatthāpita
ววตฺถิต	Vavatthita
ววตฺเถติ	Vavattheti
ววสฺสคฺค	Vavassagga
วส	Vasa
วสติ	Vasati
วสน	Vasana
วสนก	Vasanaka
วสนฺต	Vasanta
วสภ	Vasabha
วสล	Vasala
วสลก	Vasalaka
วสา	Vasā
วสิ	Vasi°
วสิก	Vasika
วสิต	Vasita
วสิตรฺ	Vasitar
วสินฺ	Vasin
วสิม	Vasima
วสี	Vasī°
วสุ	Vasu
วสุมนฺตฺ	Vasumant
วสฺส	Vassa
วสฺสติ	Vassati
วสฺสน	Vassana
วสฺสาน	Vassāna
วสฺสาปนก	Vassāpanaka
วสฺสิก	Vassika
วสฺสิกา	Vassikā
วสฺสิกี	Vassikī
วสฺสิต	Vassita
วสฺสิตรฺ	Vassitar
วสฺสินฺ	Vassin
วห	Vaha
วหติ	Vahati
วหน	Vahana
วหนก	Vahanaka
วา	Vā
วากฺ	Vāk
วาก	Vāka
วากรา	Vākarā
วากฺย	Vākya
วาคมา	Vāgamā
วาคุร	Vāgura
วาจก	Vācaka
วาจนก	Vācanaka
วาจนา	Vācanā
วาจเปยฺย	Vācapeyya
วาจสิก	Vācasika
วาจา	Vācā
วาเจตรฺ	Vācetar
วาเจติ	Vāceti
วาช	Vāja
วาชเปยฺย	Vājapeyya
วาชิต	Vājita
วาชินฺ	Vājin
วาฏ	Vāṭa
วาฏก	Vāṭaka
วาณิช	Vāṇija
วาณิชก	Vāṇijaka
วาณิชฺชา	Vāṇijjā
วาต	Vāta
วาตก	Vātaka
วาติ	Vāti
วาติก	Vātika
วาติงฺคณ	Vātiṅgaṇa
วาท	Vāda
วาทก	Vādaka
วาทน	Vādana
วาทิก	Vādika
วาทิต	Vādita
วาทิตรฺ	Vāditar
วาทินฺ	Vādin
วาน	Vāna
วานย	Vānaya
วานร	Vānara
วาปิ	Vāpi
วาปิต	Vāpita
วปิต	Vapita
วาเปติ	Vāpeti
วาภิ	Vābhi
วาม	Vāma
วามน	Vāmana
วามนก	Vāmanaka
วาย	Vāya
วายติ	Vāyati
วายน	Vāyana
วายมติ	Vāyamati
วายส	Vāyasa
วายาม	Vāyāma
วายิต	Vāyita
วายินฺ	Vāyin
วายิม	Vāyima
วายุ	Vāyu
วาโย	Vāyo
วาร	Vāra
วารก	Vāraka
วารณ	Vāraṇa
วารณิก	Vāraṇika
วารตฺติก	Vārattika
วาริ	Vāri
วาริต	Vārita
วาริตฺต	Vāritta
วารุณี	Vāruṇī
วาเรติ	Vāreti
วาเรยฺย	Vāreyya
วาล	Vāla
วาลตฺต	Vālatta
วาลธิ	Vāladhi
วาลิกา	Vālikā
วาลินฺ	Vālin
วาลุกนฺตาร	Vālukantāra
วาลุกา	Vālukā
วาฬ	Vāḷa
วาวตฺเตติ	Vāvatteti
วาส	Vāsa
วาสก	Vāsaka
วาสติ	Vāsati
วาสน	Vāsana
วาสนา	Vāsanā
วาสร	Vāsara
วาสิ	Vāsi
วาสิก	Vāsika
วาสิต	Vāsita
วาสิตก	Vāsitaka
วาสินฺ	Vāsin
วาสุ	Vāsu
วาเสติ๑	Vāseti:
วาเสติ	Vāseti
วาห	Vāha
วาหก	Vāhaka
วาหน	Vāhana
วาหนก	Vāhanaka
วาหสา	Vāhasā
วาหินฺ	Vāhin
วาเหติ	Vāheti
วิ	Vi
วิกจ	Vikaca
วิกฏ	Vikaṭa
วิกณฺณ	Vikaṇṇa
วิกณฺณก	Vikaṇṇaka
วิกต	Vikata
วิกติ	Vikati
วิกติก	Vikatika
วิกตฺต	Vikatta
วิกตฺตน	Vikattana
วิกตฺถติ	Vikatthati
วิกตฺถน	Vikatthana
วิกตฺถิต	Vikatthita
วิกตฺถินฺ	Vikatthin
วิกนฺต	Vikanta
วิกนฺตติ	Vikantati
วิกนฺตน	Vikantana
วิกปฺป	Vikappa
วิกปฺปน	Vikappana
วิกปฺปิต	Vikappita
วิกปฺปินฺ	Vikappin
วิกปฺปิย	Vikappiya
วิกปฺเปติ	Vikappeti
วิกมฺปติ	Vikampati
วิกมฺปินฺ	Vikampin
วิกโรติ	Vikaroti
วิกล	Vikala
วิกลก	Vikalaka
วิกาสติ	Vikāsati
วิกสิต	Vikasita
วิการ	Vikāra
วิกาล	Vikāla
วิกาส	Vikāsa
วิกาสิก	Vikāsika
วิกาสิตรฺ	Vikāsitar
วิกาสินฺ	Vikāsin
วิกาเสติ	Vikāseti
วิกิณฺณ	Vikiṇṇa
วิกิตฺเตติ	Vikitteti
วิกิรณ	Vikiraṇa
วิกิรติ	Vikirati
วิกีฬนิก	Vikīḷanika
วิกุชฺฌิต	Vikujjhita
วิกุณิต	Vikuṇita
วิกุทฺธ	Vikuddha
วิกุพฺพติ	Vikubbati
วิกุพฺพน	Vikubbana
วิกุลาวก	Vikulāva(ka)
วิกูชติ	Vikūjati
วิกูณ	Vikūṇa
วิกูล	Vikūla
วิกูลก	Vikūlaka
วิเกสิกา	Vikesikā
วิโกฏฺฏิต	Vikoṭṭita
วิโกปน	Vikopana
วิโกปินฺ	Vikopin
วิโกเปติ	Vikopeti
วิกฺกนฺต	Vikkanta
วิกฺกนฺทติ	Vikkandati
วิกฺกม	Vikkama
วิกฺกมติ	Vikkamati
วิกฺกย	Vikkaya
วิกฺกยิก	Vikkayika
วิกฺกิณาติ	Vikkiṇāti
วิกฺกีฬิต	Vikkīḷita
วิกฺกุถิต	Vikkuthita
วิกฺขณฺฑติ	Vikkhaṇḍati
วิกฺขณฺฑิต	Vikkhaṇḍita
วิกฺขมฺภ	Vikkhambha
วิกฺขมฺภติ	Vikkhambhati
วิกฺขมฺภน	Vikkhambhana
วิกฺขมฺภนตา	Vikkhambhanatā
วิกฺขมฺภิก	Vikkhambhika
วิกฺขมฺภิต	Vikkhambhita
วิกฺขมฺภิย	Vikkhambhiya
วิกฺขมฺเภติ	Vikkhambheti
วิกฺขลิต	Vikkhalita
วิกฺขายิตก	Vikkhāyitaka
วิกฺขาลิต	Vikkhālita
วิกฺขาเลติ	Vikkhāleti
วิกฺขิตฺต	Vikkhitta
วิกฺขิตฺตก	Vikkhittaka
วิกฺขิปตฺติ	Vikkhipatti
วิกฺขิปน	Vikkhipana
วิกฺขีณ	Vikkhīṇa
วิกฺขียติ	Vikkhīyati
วิกฺเขป	Vikkhepa
วิกฺเขปิก	Vikkhepika
วิกฺเขฬิกา	Vikkheḷikā
วิกฺโขภิต	Vikkhobhita
วิขาทน	Vikhādana
วิคจฺฉติ	Vigacchati
วิคต	Vigata
วิคม	Vigama
วิคยฺห	Vigayha
วิครหติ	Vigarahati
วิคฬติ	Vigaḷati
วิคฬิต	Vigaḷita
วิคาหติ	Vigāhati
วิคฺคณฺหติ	Viggaṇhati
วิคฺคห	Viggaha
วิคฺคหิต	Viggahita
วิคฺคาหิก	Viggāhika
วิฆฏฺฏิต	Vighaṭṭita
วิฆาส	Vighā̆sa
วิฆาฏน	Vighāṭana
วิฆาฏิต	Vighāṭita
วิฆาต	Vighāta
วิฆาตวนฺตฺ	Vighātavant
วิจกฺก	Vicakka
วิจกฺขณ	Vicakkhaṇa
วิจกฺขุ	Vicakkhu
วิจกฺขุก	Vicakkhuka
วิจย	Vicaya
วิจรณ	Vicaraṇa
วิจรติ	Vicarati
วิจริต	Vicarita
วิจาร	Vicāra
วิจารก	Vicāraka
วิจารณา	Vicāraṇā
วิจาริต	Vicārita
วิจาเรติ	Vicāreti
วิจาลิย	Vicāliya
วิจิกิจฺฉติ	Vicikicchati
วิจิกิจฺฉา	Vicikicchā
วิจิกิจฺฉิต	Vicikicchita
วิจิกิจฺฉินฺ	Vicikicchin
วิจิณฺณ	Viciṇṇa
วิจิต	Vicita
วิจิตฺต	Vicitta
วิจินติ	Vicinati
วิจินน	Vicinana
วิจินฺเตติ	Vicinteti
วิจุณฺณ	Vicuṇṇa
วิจุณฺณิต	Vicuṇṇita
วิจฺจุต	Viccuta
วิจฺฉฑฺเฑติ	Vicchaḍḍeti
วิจฺฉนฺทนิก	Vicchandanika
วิจฺฉาทนา	Vicchādanā
วิจฺฉิก	Vicchika
วิจฺฉิต	Vicchita
วิจฺฉิทฺท	Vicchidda
วิจฺฉิทฺทก	Vicchiddaka
วิจฺฉินฺท	Vicchinda
วิจฺฉินฺทติ	Vicchindati
วิจฺฉินฺน	Vicchinna
วิจฺฉุริต	Vicchurita
วิจฺเฉท	Viccheda
วิชฏน	Vijaṭana
วิชฏิต	Vijaṭita
วิชเฏติ	Vijaṭeti
วิชน	Vijana
วิชมฺภติ	Vijambhati
วิชมฺภนา	Vijambhanā
วิชมฺภิกา	Vijambhikā
วิชย	Vijaya
วิชยติ	Vijayati
วิชหติ	Vijahati
วิชหน	Vijahana
วิชหิต	Vijahita
วิชาตา	Vijātā
วิชาติ	Vijāti
วิชาน	Vijāna
วิชานน	Vijānana
วิชานาติ	Vijānāti
วิชายติ	Vijāyati
วิชายน	Vijāyana
วิชายินฺ	Vijāyin
วิชิคุจฺฉติ	Vijigucchati
วิชิต	Vijita
วิชิตาวินฺ	Vijitāvin
วิชิน	Vijina
วิชียติ	Vijīyati
วิชฺช	Vijja
วิชฺชฏิปตฺติ	Vijjaṭipatti
วิชฺชติ	Vijjati
วิชฺชนฺตริกา	Vijjantarikā
วิชฺชา	Vijjā
วิชฺชุ	Vijju
วิชฺชุลฺลตา	Vijjullatā
วิชฺโชตติ	Vijjotati
วิชฺโชตลติ	Vijjotalati
วิชฺโชติต	Vijjotita
วิชฺฌติ	Vijjhati
วิชฺฌน	Vijjhana
วิชฺฌาเปติ	Vijjhāpeti
วิชฺฌายติ	Vijjhāyati
วิญฺญตฺติ	Viññatti
วิญฺญาณ	Viññāṇa
วิญฺญาณก	Viññāṇaka
วิญฺญาณตฺต	Viññāṇatta
วิญฺญาต	Viññāta
วิญฺญาตรฺ	Viññātar
วิญฺญาปก	Viññāpaka
วิญฺญาปน	Viññāpana
วิญฺญาปย	Viññāpaya
วิญฺญาปิต	Viññāpita
วิญฺญาเปตรฺ	Viññāpetar
วิญฺญาเปติ	Viññāpeti
วิญฺญาย	Viññāya
วิญฺญุตา	Viññutā
วิญฺญุปสฏฺฐ	Viññupasaṭṭha
วิญฺญู	Viññū
วิญฺเญยฺย	Viññeyya
วิฏป	Viṭapa
วิฏปินฺ	Viṭapin
วิฏภี	Viṭabhī
วิตกฺก	Vitakka
วิตกฺกน	Vitakkana
วิตกฺกิต	Vitakkita
วิตกฺเกติ	Vitakketi
วิตจฺฉิก	Vitacchika
วิตจฺฉิกา	Vitacchikā
วิตจฺฉิต	Vitacchita
วิตจฺเฉติ	Vitaccheti
วิตณฺฑา	Vitaṇḍā
วิตต	Vitata
วิตถ	Vitatha
วิตโนติ	Vitanoti
วิตรณ	Vitaraṇa
วิตรติ	Vitarati
วิตาน	Vitāna
วิติณฺณ	Vitiṇṇa
วิตุทติ	Vitudati
วิตุนฺน	Vitunna
วิตุเรยฺยติ	Vitureyyati
วิตฺต	Vitta
วิตฺตก	Vittaka
วิตฺตกตา	Vittakatā
วิตฺติ	Vitti
วิตฺถ	Vittha
วิตฺถก	Vitthaka
วิตฺถต	Vitthata
วิตฺถมฺภน	Vitthambhana
วิตฺถมฺเภติ	Vitthambheti
วิตฺถายติ	Vitthāyati
วิตฺถายิตตฺต	Vitthāyitatta
วิตฺถาร	Vitthāra
วิตฺถารตา	Vitthāratā
วิตฺถาริก	Vitthārika
วิตฺถาริต	Vitthārita
วิตฺถาริยติ	Vitthāriyati
วิตฺถาเรติ	Vitthāreti
วิตฺถิณฺณ	Vitthiṇṇa
วิทํสก	Vidaṃsaka
วิทํเสติ	Vidaṃseti
วิทฑฺฒ	Vidaḍḍha
วิทติ	Vidati
วิทตฺถิ	Vidatthi
วิทลก	Vidalaka
วิทหติ	Vidahati
วิทารณ	Vidāraṇa
วิทาริต	Vidārita
วิทาเรติ	Vidāreti
วิทาลน	Vidālana
วิทาลิต	Vidālita
วิทาเลติ	Vidāleti
วิทิต	Vidita
วิทิตตฺต	Viditatta
วิทิสา	Vidisā
วิทุคฺค	Vidugga
วิทุร	Vidura
วิทู	Vidū
วิทูปิต	Vidūpita
วิทูร	Vidūra
วิทูสิต	Vidūsita
วิเทส	Videsa
วิโทมนสฺสา	Vidomanassā
วิทฺทสุ	Viddasu
วิทฺเทส	Viddesa
วิทฺเทสนา	Viddesanā
วิทฺเทสินฺ	Viddesin
วิทฺเทสฺสติ	Viddessati
วิทฺธ	Viddha
วิทฺธํส	Viddhaṃsa
วิทฺธํสก	Viddhaṃsaka
วิทฺธํสติ	Viddhaṃsati
วิทฺธํสน	Viddhaṃsana
วิทฺธํสนตา	Viddhaṃsanatā
วิทฺธํสิต	Viddhaṃsita
วิทฺธสฺต	Viddhasta
วิทฺธา	Viddhā
วิทฺวา	Vidvā
วิธ	Vidha
วิธมก	Vidhamaka
วิธมติ	Vidhamati
วิธมน	Vidhamana
วิธมิต	Vidhamita
วิธวา	Vidhavā
วิธา	Vidhā
วิธาตรฺ	Vidhātar
วิธาน	Vidhāna
วิธานวนฺตฺ	Vidhānavant
วิธายก	Vidhāyaka
วิธาวติ	Vidhāvati
วิธิ	Vidhi
วิธุติก	Vidhutika
วิธุนาติ	Vidhunāti
วิธุร	Vidhura
วิธูปน	Vidhūpana
วิธูปิต	Vidhūpita
วิธูเปติ	Vidhūpeti
วิธูม	Vidhūma
วินฏฺฐ	Vinaṭṭha
วินต	Vinata
วินทติ	Vinadati
วินทฺธ	Vinaddha
วินนฺธติ	Vinandhati
วินนฺธน	Vinandhana
วินย	Vinaya
วินยติ	Vinayati
วินยน	Vinayana
วินฬีกต	Vinaḷīkata
วินสฺสติ	Vinassati
วินา	Vinā
วินาติ	Vināti
วินาม	Vināma
วินาเมติ	Vināmeti
วินายก	Vināyaka
วินาส	Vināsa
วินาสก	Vināsaka
วินาสน	Vināsana
วินาเสติ	Vināseti
วินิคฬติ	Vinigaḷati
วินิคฺคต	Viniggata
วินิคฺคห	Viniggaha
วินิคฺคิลติ	Viniggilati
วินิฆาตินฺ	Vinighātin
วินิจฺฉย	Vinicchaya
วินิจฺฉรติ	Viniccharati
วินิจฺฉิต	Vinicchita
วินิจฺฉินฺ	Vinicchin
วินิจฺฉินน	Vinicchinana
วินิจฺฉินาติ	Vinicchināti
วินิชฺชิต	Vinijjita
วินิธาย	Vinidhāya
วินินฺทติ	Vinindati
วินิปาต	Vinipāta
วินิปาติก	Vinipātika
วินิปาเตติ	Vinipāteti
วินิพทฺธ	Vinibaddha
วินิพนฺธ	Vinibandha
วินิพฺเพฐน	Vinibbeṭhana
วินิพฺภุชติ	Vinibbhujati
วินิพฺภุชน	Vinibbhujana
วินิพฺภุตฺต	Vinibbhutta
วินิพฺโภค	Vinibbhoga
วินิภินฺทติ	Vinibhindati
วินิมย	Vinimaya
วินิมีเลติ	Vinimīleti
วินิมุตฺต	Vinimutta
วินิโมเจติ	Vinimoceti
วินิยุชฺชติ	Viniyujjati
วินิโยค	Viniyoga
วินิวฏฺเฏติ	Vinivaṭṭeti
วินิวิชฺฌ	Vinivijjha
วินิวิชฺฌติ	Vinivijjhati
วินิวิชฺฌน	Vinivijjhana
วินิวิทฺธ	Vinividdha
วินิวิฏฺฐ	Viniviṭṭha
วินิเวฐน	Viniveṭhana
วินิเวเฐติ	Viniveṭheti
วินิเวส	Vinivesa
วินีต	Vinīta
วินีลก	Vinīlaka
วินีวรณ	Vinīvaraṇa
วินุทติ	Vinudati
วิเนตรฺ	Vinetar
วิเนติ	Vineti
วิโนทก	Vinodaka
วิโนทน	Vinodana
วิโนเทติ	Vinodeti
วินฺทติ	Vindati
วินฺทุสฺสร	Vindussara
วิปกฺก	Vipakka
วิปกฺข	Vipakkha
วิปกฺขิก	Vipakkhika
วิปกฺขินฺ	Vipakkhin
วิปจฺจตา	Vipaccatā
วิปจฺจติ	Vipaccati
วิปจฺจนก	Vipaccanaka
วิปจฺจนีก	Vipaccanīka
วิปชฺชติ	Vipajjati
วิปญฺจนา	Vipañcanā
วิปญฺจิต	Vipañcita
วิปเณติ	Vipaṇeti
วิปตติ	Vipatati
วิปตฺติ	Vipatti
วิปถ	Vipatha
วิปนฺน	Vipanna
วิปนฺนตฺต	Vipannatta
วิปรกฺกมฺม	Viparakkamma
วิปราโมส	Viparāmosa
วิปราวตฺต	Viparāvatta
วิปริณต	Vipariṇata
วิปริณาม	Vipariṇāma
วิปริณาเมติ	Vipariṇāmeti
วิปริภินฺน	Viparibhinna
วิปริยตฺถ	Vipariyattha
วิปริยย	Vipariyaya
วิปริยาทิกต	Vipariyādikata
วิปริเยส	Vipariyesa
วิปริวตฺต	Viparivatta
วิปริวตฺตติ	Viparivattati
วิปริวตฺตน	Viparivattana
วิปรีต	Viparīta
วิปรีตตา	Viparītatā
วิปลาวิต	Vipalāvita
วิปลฺลตฺถ	Vipallattha
วิปลฺลาส	Vipallāsa
วิปลฺลาสยติ	Vipallāsayati
วิปสฺสก	Vipassaka
วิปสฺสติ	Vipassati
วิปสฺสนา	Vipassanā
วิปสฺสินฺ	Vipassin
วิปาก	Vipāka
